contractNo,desc,vendorID,vendorName,agency,beginDate,endDate,totalContractAmt,amtSpent,amtRemaining
P503784:0,Way Finding Signage - Heritage,00000363,Triangle Sign & Service,MAYOR'S OFFICE OF CIVIC PROMOTION,08/20/2011,08/19/2012,$541648.00,$344620.00,$197028.00
P503784:0,Way Finding Signage - Heritage,00000363,Triangle Sign & Service,City-Wide,08/20/2011,08/19/2012,$100000.00,$76020.00,$23980.00
P504527:0,Railroad Spikes,00000936,"ROBNET, INC",PUBLIC WORKS,10/08/2010,09/13/2011,$11700.00,$11700.00,$0.00
P506086:0,EXTERIOR WINDOW WASHING ,00004283,"With Anointed Hands, LLC",ENOCH PRATT FREE LIBRARY,01/02/2011,01/20/2012,$69480.00,$62790.00,$6690.00
P508318:0,Lead Abatement Low Income Residences Part II,00005961,"Coalition to End Childhood Lead Poisoning, Inc.",City-Wide,07/18/2010,01/31/2012,$261600.00,$25765.00,$235835.00
P508318:0,Lead Abatement Low Income Residences Part II,00005961,"Coalition to End Childhood Lead Poisoning, Inc.",HEALTH,07/18/2010,01/31/2012,$214000.00,$213034.00,$966.00
P509255:0,Decorative Street Light  Fixtures & Poles,00003638,"Hadco, A Philips Group Brand",City-Wide,07/01/2011,06/30/2013,$1558175.00,$910383.50,$647791.50
P510696:0,Revolution Traffic Cone,00000679,National Capital Industries,PUBLIC WORKS,09/29/2010,09/28/2012,$63220.00,$48745.00,$14475.00
P510696:0,Revolution Traffic Cone,00000679,National Capital Industries,TRANSPORTATION,09/29/2010,09/28/2012,$63220.00,$34830.00,$28390.00
P510696:0,Revolution Traffic Cone,00000679,National Capital Industries,City-Wide,09/29/2010,09/28/2012,$30000.00,$1265.00,$28735.00
P510854:0,Special Laboratory Procedures,00003595,Quest Diagnostics,HEALTH,11/01/2010,10/31/2011,$10000.00,$0.00,$10000.00
P512397:0,Snow & Ice Removal Services,00002418,"Tote-It, Incorporated",ENOCH PRATT FREE LIBRARY,03/10/2011,03/09/2013,$30000.00,$2585.00,$27415.00
P512520:0,provide janitorial  services,00002551,Alty cleaning service inc.,FIRE,04/01/2012,03/31/2013,$19800.00,$19800.00,$0.00
P512542:0,Itron Maintenance Renewal,00005022,"Itron, Inc.",PUBLIC WORKS,07/01/2010,06/30/2012,$89245.13,$88247.25,$997.88
P512586:0,Lab coat cleaning,00002717,Odonnell Cleaners,PUBLIC WORKS,07/01/2010,06/30/2011,$2802.50,$2598.25,$204.25
P512903:0,Grass Mowing,00000261,"LORENZ, INC.",RECREATION & PARKS,04/12/2011,04/13/2013,$2167372.00,$1364233.00,$803139.00
P513133:0,Prescription Drugs,00008045,NeighborCare Professional Pharmacies,HEALTH,04/21/2011,04/20/2012,$24091.07,$23698.21,$392.86
P513194:0,Mowing & Landscaping Service for EPFL Branches,00002839,The Garrison Company,ENOCH PRATT FREE LIBRARY,04/05/2011,04/04/2013,$51237.00,$26118.00,$25119.00
P513210:0,Bi annual inspection and maintenance of CNG Refueling Station  ,00002027,"Air & Gas Technologies, Inc",GENERAL SERVICES,07/29/2010,07/28/2012,$7350.00,$6949.50,$400.50
P513279:0,Nuvaring ,00003887,R&S Northeast LLC,HEALTH,07/01/2011,06/30/2012,$28440.00,$9450.00,$18990.00
P513535:0,"Steel Pipes, Valves and Fittings",00003531,FERGUSON ENTERPRISES,City-Wide,09/01/2010,08/31/2013,$280000.00,$141471.99,$138528.01
P513547:0,Janitorial Services for Zeta Center,00000515,I GIVE QUALITY NOT QUANTITY FLOOR CLEANING SERVICE,HEALTH,07/01/2010,06/30/2012,$17100.00,$15300.00,$1800.00
P513547:0,Janitorial Services for Zeta Center,00000515,I GIVE QUALITY NOT QUANTITY FLOOR CLEANING SERVICE,COMM. ON AGING,07/01/2010,06/30/2012,$4500.00,$4500.00,$0.00
P513626:0,Stanley Meats - Northwood- FY2011,00005946,STANLEY FOODS,HOUSING & COMMUNITY DEVELOPMENT,07/01/2010,06/30/2011,$3500.00,$934.70,$2565.30
P513628:0,Stanley Foods - Waverly,00005946,STANLEY FOODS,HOUSING & COMMUNITY DEVELOPMENT,07/01/2010,06/30/2011,$3500.00,$1679.39,$1820.61
P513654:0,US Food Waverly Child Care - FY2011 ,00004045,US Foodservice,HOUSING & COMMUNITY DEVELOPMENT,07/01/2010,06/30/2011,$5000.00,$4669.18,$330.82
P513655:0,Primavera P6 & Contract Manager,00002881,"CDP,Inc.",TRANSPORTATION,07/06/2010,07/05/2011,$275000.00,$264275.00,$10725.00
P513664:0,Stanley Foods - Dukeland Childcare Ctr.,00005946,STANLEY FOODS,HOUSING & COMMUNITY DEVELOPMENT,07/01/2010,07/07/2011,$10000.00,$7752.24,$2247.76
P513669:0,Stanley Foods  - Dunbar FY2011,00005946,STANLEY FOODS,HOUSING & COMMUNITY DEVELOPMENT,07/01/2010,06/30/2011,$6000.00,$5321.67,$678.33
P513672:0,"Janitorial Service - 2700 N. Charles St., FY2011",00008203,Sparkle & Shine,HOUSING & COMMUNITY DEVELOPMENT,08/01/2010,07/30/2011,$11996.00,$10938.00,$1058.00
P513699:0,US Foodservice - Dukeland 2011,00004045,US Foodservice,HOUSING & COMMUNITY DEVELOPMENT,07/01/2010,06/30/2011,$24950.00,$21595.82,$3354.18
P513700:0,US Foodservice - Dunbar 2011,00004045,US Foodservice,HOUSING & COMMUNITY DEVELOPMENT,07/01/2010,06/30/2011,$15000.00,$13325.04,$1674.96
